ONOMATOPEE300_001 めがちかちかするのだがなにかのびょうきだろうか
ONOMATOPEE300_270 とてもさむいよるにおんせんにつかりながらひらひらまいおちるしろいゆきをみているととてもげんそうてきなきぶんになりました
ONOMATOPEE300_271 ともだちがちょいちょいはらのたつことをいっってくるのでこんごのつきあいをどうするかなやんでいる
ONOMATOPEE300_272 よっぽどつかれたのかすすとやすらかなねいきをたてている
ONOMATOPEE300_273 はじめてわたしがちゅっときすをされたのはちいさいごろでしかもそのあいてがどうせいだったことをおぼえている
ONOMATOPEE300_274 しょっきだなからぐらすをおとしてがしゃんというおとがした
ONOMATOPEE300_275 あまかぜのしいにちにがたがたとあまどがおとをたてている
ONOMATOPEE300_276 つめたいかきこおりをたべたらあたまがきんきんいたくなった
ONOMATOPEE300_277 きゅうじつにいつまでもぐぐねているだんなをおこした
ONOMATOPEE300_278 ばけつにあながひらいていたのかみずがどぼどぼとこぼれている
ONOMATOPEE300_279 でかでかとろごがいっってるりゅっくをこうこうせいがせおっているのをよくみかけます
ONOMATOPEE300_280 あめのなかをかさをささずにあるいたのでふくがぐっしょりぬれてしまった
ONOMATOPEE300_281 ずんぐりとしたたいかくににあわずいがいときびんなうごきをみせる
ONOMATOPEE300_282 もうおわったことにいつまでもごちゃごちゃとうるさい
ONOMATOPEE300_283 ほかのかぎではびくともしなかったどあがかちりというおととともにひらいた
ONOMATOPEE300_284 にちのひかりにてらされたすすきがさわさわとゆれている
ONOMATOPEE300_285 さんさいのむすめはひるまにたくさんひるねをしたためかよなかのにときになってもめがぎんぎんでねるようすがない
ONOMATOPEE300_286 すきだったこにきゅうにふられてがっくりきた
ONOMATOPEE300_287 つけものいしをどすんとおいてしばらくじかんがたてばつけもののかんせいだ
ONOMATOPEE300_288 かいだんをいきおいよくおりているとかけおりるいきおいをささえられずにいたがばきっとおれてしまった
ONOMATOPEE300_289 あたまがぼっとするのでつめたいみずでかおをあらうとすこしはしゃきっとするかもしれないがこうかはうすい
ONOMATOPEE300_290 あまりにもこわいやしきにまねかれたのでかれはわなわなふるえているのがとおくからでもよくかいった
ONOMATOPEE300_291 かいしゃにつとめてさんじゅうねんもへつとおのずとからだがへこへこしてくるのだとじまんされてもとてもこまった
ONOMATOPEE300_292 じゅうねんぶりにあったゆうじんはほっそりとしていてせいきがぬけてしまったようにおもえてしかたがなかった
ONOMATOPEE300_293 いえがふるくこのけんつけがわるくなったのででいりのときなどこをかいへいするたびにがたぴしとおとがなる
ONOMATOPEE300_294 もっていたまぐかっぷがてからすべりおちてごとりとにぶいおとをたててとこのじょうにおちていった
ONOMATOPEE300_295 ほうもんさきでおちゃやこひをたくさんのんだのでおはらがたぷたぷになった
ONOMATOPEE300_296 じゅぎょうではせんせいのはなしをききながらせいとたちはしんけんなひょうじょうでのとをとったりくびをこくこくとかたむけていた
ONOMATOPEE300_297 たいふうはすぎさったがよわいあめがしとしととおりつづいている
ONOMATOPEE300_298 こねこがちいさなこえでにゃっとなくといつもかならずきゅんとしちゃうのはわたしだけでしょうか
ONOMATOPEE300_299 つくえのかくであたまをつよくぶつけてあまりのしょうげきにぴよぴよとひよこがあたまのまわりをとんでいた
ONOMATOPEE300_300 ひざしはつよすぎずかぜもそよそよとすずしいさいこうのひよりだ
