BASIC5000_0001 みずをまれしあからかわなくてはならないのです
BASIC5000_1165 なんびゃくにんものしょうねんたちがぐらんどであそんでいる
BASIC5000_1166 わたしこじんのいけんとしてはそのけいかくにはんたいだ
BASIC5000_1167 おなまえとじゅうしょをおききしてもよろしいでしょうか
BASIC5000_1168 いいんかいはそのけいかくをめぐっていけんがわかれた
BASIC5000_1169 しょうこばからのだっきゃくにはひこんまざのぞうだいがひっすなのににっぽんのよろんはなぜかこのぎろんをさけている
BASIC5000_1170 つるぎはとらがぜつめつしたのはひょうがじだいであった
BASIC5000_1171 まきひつじいぬがひつじのぐんをぼくじょうへつれていく
BASIC5000_1172 しこうがずいぶんついているとおもいますが
BASIC5000_1173 ちくおんきはえじそんのずのうからうまれた
BASIC5000_1174 もくてきはよいとしてもどのようにそのけいかくをじっこうするのか
BASIC5000_1175 はんじかんしたらかれはここにくるでしょう
BASIC5000_1176 ぜいはちょくせつぜいとかんせつぜいからなっている
BASIC5000_1177 ぜいにかんしていえばそれはみりょくてきなせいどだ
BASIC5000_1178 きふじんはいそいでびょういんへいきそのまましんさつしつへとつれていかれた
BASIC5000_1179 よしおはわたしがそのはこをもちあげるのをてつだってくれた
BASIC5000_1180 こがあんたのはんせいでいったいなにがあったの
BASIC5000_1181 さいばんかんはそのしゅうじんのいちねんのけいきをしゃめんした
BASIC5000_1182 ちょきんばこにはおきんはまったくのこっていなかった
BASIC5000_1183 ひがいしゃのしによってだれがえをするのだろう
BASIC5000_1184 ながいめでみればちがってくるとおもいます
BASIC5000_1185 かんぜんなしゅうきょうのじゆうがばんにんにほしょうされている
BASIC5000_1186 こうそくなのでせいとたちはがくせいふくをきなくてはならない
BASIC5000_1187 よくちょうゆきだるまはあとかたもなくきえうせていた
BASIC5000_1188 ながくれんしゅうしたおかげでかれはとてもじゅくたつした
BASIC5000_1189 むらにはにじゅうにんしかのこっていなかった
BASIC5000_1190 かちかんのちがうにんとうまくやっていくのはむずかしい
BASIC5000_1191 むらのにんたちがしぜんかんきょうにかんしてはなしたぎろんははくねつした
BASIC5000_1192 いっさんかたんそとはたんそかごうぶつのふかんぜんねんしょうではっせいするゆうがいぶっしつです
BASIC5000_1193 かいがいにいったときはちっぷがひつようなことをおぼえていたほうがいいですよ
BASIC5000_1194 てんらんされたえのかなりおおくがかいかいしょにちにうれた
BASIC5000_1195 しゅたいきゃくたいさえやくせればあとはそこまでむずかしくないです
BASIC5000_1196 ともかくやくそくをやぶるのはよくありません
BASIC5000_1197 とろひでじかんをかけてまめをたいてください
BASIC5000_1198 とりわけろんりがくにはせいかくなていぎがようきゅうされる
BASIC5000_1199 どきょうのないじぶんにわれながらひどくはらがたった
BASIC5000_1200 とびにあぶらあげげをさらわれたようなものだ
BASIC5000_1201 めんとむかってほめるにんはようじんしなさい
BASIC5000_1202 わしのはねはひろげるといちめたにもなる
BASIC5000_1203 ぜいじゃくでちからのないただのにんげんなんだ
BASIC5000_1204 あきやになっているりゆうはさまざまです
BASIC5000_1205 しどうしゃはこくみんとぼつこうしょうになっていた
BASIC5000_1206 せきゆかいしゃはふたたびがそりんのかかくをあげた
BASIC5000_1207 とうこうのとちゅうわすれずにこのてがみをだしてね
BASIC5000_1208 おちかくにおいでのふしはぜひおたちよりください
BASIC5000_1209 かんぐんににゅうじょうをゆるすとはどういうりょうけんだ
BASIC5000_1210 いもうとがうまれたにちのことはよくおぼえています
BASIC5000_1211 どくしゃはそのにゅすがしんじつかどうかをたしかめることはできない
BASIC5000_1212 けにあはかつていぎりすのしょくみんちであった
BASIC5000_1213 けねすすたがまたしてもけんりょくをらんようしわたしがいんたねっとをつかうけんりをはくだつしたのです
BASIC5000_1214 たいせつなことはそのことでせんせいとそうだんすることだ
BASIC5000_1215 そとへでなさいでないとこうかいしますよ
BASIC5000_1216 けちゃっぷをべつにもってきてください
BASIC5000_1217 だまされやすいにんはたえずうまれてくるといったにんがあるがさぎしはいずれもこのことをしょうちしている
BASIC5000_1218 ほどうでじてんしゃにのってはいけません
BASIC5000_1219 そとはさむいかられいんことをきるべきだ
BASIC5000_1220 そとのおとがうるさくてべんきょうするきになれなかった
BASIC5000_1221 ちゅうべいではしんりんがかちくのぼくじょうにとってかわられている
BASIC5000_1222 そとにでるとすぐにあめがおりはじめた
BASIC5000_1223 つうきんれっしゃにのるとかばんがたなにきちんとならべられていることがみえる
BASIC5000_1224 そとではつめたいきたかぜがごうごうとふきあれていた
BASIC5000_1225 けびんはいなかのおばのてでそだてられた
BASIC5000_1226 こいやますのようなさかなはたんすいにすんでいる
BASIC5000_1227 えだがのびみがなることをそうていしてつぐばしょをえらびましょう
BASIC5000_1228 けりはたいいくをさぼっていえにかえった
BASIC5000_1229 えいかいわにたんのうになりたかったらこんきよくつづけてやらないとだめだ
BASIC5000_1230 ふけんはふらんすやにっぽんのぎょうせいくいきである
BASIC5000_1231 けっきょくかのせつめいがただしいとわかった
BASIC5000_1232 かいこくはにほんぶんめいにおおきなえいきょうをもたらした
BASIC5000_1233 けきしょくにんはちいさいごろからのゆめでした
BASIC5000_1234 かいしゅうたいしょうのそにせいじゅうでんちはるいけいでななひゃくろくじゅうごまんきゅうせんことなった
BASIC5000_1235 けんがわたしにあいにきたのはちょうどにしゅうかんまえだった
BASIC5000_1236 かわべりにはこうじょうのえんとつがはやしのようにそそりたっている
BASIC5000_1237 ふたつのぐるぷがだんけつしてひとつのせいとうになった
BASIC5000_1238 てきさすしゅうはめきしことせっしている
BASIC5000_1239 ついきゅうされてついみえすいたうそをついてしまった
BASIC5000_1240 ていとしをつれてきていただけませんか
BASIC5000_1241 てぃなはすぐににっぽんのたべものになれた
BASIC5000_1242 あかしんごうのときにおうだんしてはいけないとけいかんはわたしたちにいいました
BASIC5000_1243 かわにおちそうになったときかれはきをつかんだ
BASIC5000_1244 いったんふろあんどめしおちよんじゅっぷんぐらいしてきかん
BASIC5000_1245 てすとのあとでわたしたちはかいたこたえをみせあった
BASIC5000_1246 かわのみずをせきやめるためにていぼうがけんせつされた
BASIC5000_1247 かわでおよいでいるこどもたちがなんにんかいる
BASIC5000_1248 じじょうにあわせてきしゃのきろくもちょうせいしてください
BASIC5000_1249 にかげつまえにむちうちしょうをやりました
BASIC5000_1250 こっけいなはなしをしているまっさいちゅうにかれにでんわがかかってきたのではなしをちゅうしした
BASIC5000_1251 ごえんりょなくけきをおとりください
BASIC5000_1252 かわがはんらんしていてひろいちいきがみずびたしになった
BASIC5000_1253 まいつきのしゅうにゅうのいちぶをちょちくすればそこなはない
BASIC5000_1254 にくたいとせいしんとはそうせいじでありかみのみがどちらがどちらなのかをしっている
BASIC5000_1255 だいたいどのくらいのねだんでいけますか
BASIC5000_1256 しんじつとかがくしゃのかんけいはことばとしじんのかんけいにひとしいとしばしばいわれてきた
BASIC5000_1257 だがべっどせいかつではまったくみりょくてきじゃないんだ
BASIC5000_1258 だからひとりでいくなといっったのですよ
BASIC5000_1259 きつえんによってしぼうしたもののたいはんはへびすもかではなかった
BASIC5000_1260 だけどおれのこころはまだかおすのなかにいる
BASIC5000_1261 じつはかれはうまれつきよいにんげんなのです
BASIC5000_1262 だってわたしたちはけっきょくつめたいつちにたおれるのだから
BASIC5000_1263 きれいだってことはひふのふかさふんのことだけだ
BASIC5000_1264 しりあいのしゅうりやさんにでんわしてこわれたせんたくきをすぐさまなおしてもらうわ
BASIC5000_1265 しらないうちにがっぴはへってしまうおれはちゃんすをのがしたくない
BASIC5000_1266 ちかこがいなくなってはじめてかのじょをどんなにすきだったかにきづいた
BASIC5000_1267 だまっていたことよりもしゃべったことをこうかいしたにんのほうがおおい
BASIC5000_1268 ぼうかんしゃにはげむのだいぶぶんがみえる
BASIC5000_1269 らいきゃくとおるはかのおくさんのりょうりをじゅうぶんしょうみした
BASIC5000_1270 もともとけんちくでざいんというぶんやでていあんされたえめっとりろんがなぜぶつりがくにおいてじゅうようなのかをあきらかにしたい
BASIC5000_1271 もはやせかいたいせんはないものとかくしんする
BASIC5000_1272 ものにはすべてはじめというのがあるはずだ
BASIC5000_1273 もっとゆっくりあるくようにせんせいにたのんだ
BASIC5000_1274 もちろんわたしはそのぱてぃにいきます
BASIC5000_1275 りこてきなにんはじぶんのかんじょうしかかんがえない
BASIC5000_1276 もしまんいちてつだいがひつようならぜひおしらせください
BASIC5000_1277 ちょうえきにねんのはんけつにちほうけんじはふまんだった
BASIC5000_1278 もうあいつのせんすのわるさにはうんざりするよ
BASIC5000_1279 しんだいとうりょうはぐんをぞうきょうしたいとおもっている
BASIC5000_1280 きぬはてざわりがやわらかくすべすべしている
BASIC5000_1281 すうさつのあんないしょをかったがどれもわたしのたすけにはならなかった
BASIC5000_1282 きゅうじゅうねんだいにはいろんなじけんがおこった
BASIC5000_1283 ごしょくはいくつかあるがぜんたいとしてはいいほんだ
BASIC5000_1284 みちのごにであったときにはじしょでしらべなければならない
BASIC5000_1285 おやがかねもちのこどもはおきんのつかいかたをしらない
BASIC5000_1286 おやかせんせいがこどもにどくしょのたのしみをじゅうぶんにわからせなければならない
BASIC5000_1287 かあさんはろっくはぴんとこないという
BASIC5000_1288 いやとむのほうがおくさんをよろこばせたいとおもってやっているんだよとおもう
BASIC5000_1289 くろぬりのりむじんがきというたいやのおととともにかくをまがった
BASIC5000_1290 いらぬつげぐちをしてかれらのけっこんせいかつになみかぜをたてることはない
BASIC5000_1291 いよいよというときになってかれはおじきづいた
BASIC5000_1292 いわゆるえいちはたんにちしきのだんぺんではないことをこころにとめておくべきだ
BASIC5000_1293 えんとつはけむりをだんろからそとへだすものだ
BASIC5000_1294 いろいろとたすけてくださってわたしたちはくんにとてもかんしゃしています
BASIC5000_1295 おやのこころのなかではこどもはせいちょうしてもねんをとらないのである
BASIC5000_1296 おやはわたしがひとりでいくことをゆるさなかった
BASIC5000_1297 やきゅうじょうにはおおくのこうふんしたふぁんがいました
BASIC5000_1298 おやにしなれたむすことけっこんするじょせいはしあわせである
BASIC5000_1299 どなりつけたかったがおもいとどまった
BASIC5000_1300 おおなみをうけてかのかぬはてんぷくした
BASIC5000_1301 ふきつけるつめたいかぜがほねみにしみた
BASIC5000_1302 げんざいへいしゃはにほんぜんこくにひじょうによくそしきされたにひゃくのはんばいてんをもっています
BASIC5000_1303 しゅふがよかをじゅうぶんもてるようになったのもでんかせいひんのたまものである
BASIC5000_1304 えどじだいにかくはんのしょうれいさくによってぜんこくかくちにじばさんぎょうがきょうった
BASIC5000_1305 あかるいえがおでふたりはひかりかがやくみらいをあゆみはじめたんだ
BASIC5000_1306 ものがたりのすじはあるしまをぶたいにてんかいする
BASIC5000_1307 あきらかにかれらはかのとみとちいをとんでいる
BASIC5000_1308 げんちのひとたちはそのちくにたちいることをゆるされなかった
BASIC5000_1309 すすんでせきにんをとるということはせいじゅくのいんである
BASIC5000_1310 かれどくじのやりかたはわれわれのかんではにんきがない
BASIC5000_1311 おやとしてまことになさけないじょうたいにありました
BASIC5000_1312 にゅうしせいどのかいかくかりきゅらむのかいかくはちゃくちゃくとすすんでいるがあゆみはおそい
BASIC5000_1313 うんどうもかどになるとゆうがいむえきである
BASIC5000_1314 おいそがしいところをごらいしゃいただきありがとうございました
BASIC5000_1315 おがわがさらさらとながれるおとがきこえる
BASIC5000_1316 おこころづかいにあつくおれいもうしあげます
BASIC5000_1317 ぎんこうはわれわれのきんがあんぜんなことをかくやくした
BASIC5000_1318 ぎせいをはらわないでしゅうかくをえることはできない
BASIC5000_1319 ごらくというてんではほとんどなにもありませんでした
BASIC5000_1320 まつもとせいちょうはせんきゅうひゃくきゅうじゅうにねんになくなった
BASIC5000_1321 ひかんろんがゆうせいなのだからけいえいしゃはそのけいかくをだんねんするだろう
BASIC5000_1322 とりいというとかいだんをあがったところにあったあかいおぶじぇ
BASIC5000_1323 たいびょうからようやくせいかんしたわたしのめにはしんらばんしょうがうつくしくうつった
BASIC5000_1324 じけんをしんぎしたのはどのさいばんかんですか
BASIC5000_1325 じりきでそうしなさいとちちはわたしにいった
BASIC5000_1326 にゅうじょうりょうはそうけいにせんごひゃくどるになった
BASIC5000_1327 ふたつのくにのせんそうはりょうごくのおおきなそんしつでおわった
BASIC5000_1328 たいそうきょうぎのなかではてつぼうのだいしゃりんがすきです
BASIC5000_1329 そうそふのだいからとうきょうにすんでいます
BASIC5000_1330 べっしのちゅうもんしょのとうりちゅうもんいたします
BASIC5000_1331 さるたちはたがいにけつくろいしあっている
BASIC5000_1332 ひきのばしをしてほしかったしゃしんはいつできるのですか
BASIC5000_1333 りょうしつのくだものがふゆにはふそくしねだんもたかくなる
BASIC5000_1334 しんけいしつなにんはこのしごとにはむかない
BASIC5000_1335 ねびきこうしょうにひつようなじょうけんをおしえてください
BASIC5000_1336 こうりつてきなきかいがにくたいろうどうにとってかわった
BASIC5000_1337 びしょうがかならずしもまんぞくをあらわしているわけではない
BASIC5000_1338 あわないでいるとにんのこころはいっそうあいじょうがふかくなる
BASIC5000_1339 こんごのぜいせいかいかくではぎんこうぎょうかいになんのえいきょうもあたえないだろう
BASIC5000_1340 ひっこしてきたばかりだからまだへやがさっぷうけいなんだよ
BASIC5000_1341 そしきばいようのしてんからはこのじっけんのかんきょうはもっとげんみつにきていされるべきである
BASIC5000_1342 ちてきなどくしょのためのただしいそくどなどというものはそんざいしない
BASIC5000_1343 だいじょうぶわたしはひとりでできるから
BASIC5000_1344 きけばきくほどますますおもしろくなる
BASIC5000_1345 きこえるおとはとけいのかちかちというおとだけだった
BASIC5000_1346 ねんまつのけいざいやにはてがるにきくばんのうやくなどありません
BASIC5000_1347 きえるせんりつはうつくしいがきこえないせんりつはさらにうつくしい
BASIC5000_1348 きくところによるとかれはむらではひとかどのじんぶつだそうだ
BASIC5000_1349 きいたことをなんでもかんでもしんじてはいけない
BASIC5000_1350 ひめいにはりせいにさえうったえるちからがある
BASIC5000_1351 しつではこれはあれよりはるかにかっている
BASIC5000_1352 しつのよいさびすがもとめられている
BASIC5000_1353 ねっきょうてきなかんきゃくがきょうぎじょうになだれこんだ
BASIC5000_1354 おとこたちはとらっくにてにもつをつんだ
BASIC5000_1355 にっくにきわくうこうはじっさいなりたをゆうめいにした
BASIC5000_1356 ははのしはわたしのしょうがいにおおきなくうはくをのこした
BASIC5000_1357 おとこがうまにのってそのみちをやってきた
BASIC5000_1358 ちゅうせいのいんぐらんどではまちというまちのすべてがときにはいちどにごひゃくにんものせんしゅがとくていのきゅうじつにふっとぼるをしていたのです
BASIC5000_1359 おとこでもおんなでもなにかひとつのぎじゅつをみにつけることがのぞましい
BASIC5000_1360 おとこのこはじぶんのいもうとをみくだしがちである
BASIC5000_1361 おとこはすぐにしゅうかんをかえられるものではないんだ
BASIC5000_1362 ふくはあかぴんくあおいろなどであった
BASIC5000_1363 ふくのえらびかたはほしゅてきになってきている
BASIC5000_1364 おばうちからしたかのすがたをみるのはしのびないね
BASIC5000_1365 だいくがむすこににわとりこやをぞうってやるのはいたってかんたんなことである
BASIC5000_1366 たいちょうはぶかにただちにしゅうごうするようにめいれいした
BASIC5000_1367 しかじしまにはいちどもいったことがありませんがこんねんのなついくつもりです
BASIC5000_1368 てんしのはなしをするとそのはねばたきがきこえるであろう
BASIC5000_1369 たしょうのおくれをこうりょしておくのがひつようだ
BASIC5000_1370 こうそくどうろをはしるときはいくらちゅういしてもじゅうぶんとはいえない
BASIC5000_1371 さぎょういんはあたらしいいえにはいせんこうじをしている
BASIC5000_1372 だんねつせいがまされていることのけってんはすぐにかねつじょうたいになってしまうということである
BASIC5000_1373 しゅっせするためにはせっきょくてきなにんげんでなければならない
BASIC5000_1374 いちぶのびょういんはようじようみるくのむりょうみほんをはいふする
BASIC5000_1375 しれいかんはぶかにむかってただちにはっぽうするようめいれいをはっした
BASIC5000_1376 さんきゅうのあとかのじょはまたもとのしごとにもどった
BASIC5000_1377 よろんはせいじのりょういきでじゅうようなやくわりをえんずる
BASIC5000_1378 いちろうはどことなくきずついたようにいっったがそれがうそっぱちであることはこいつとのながねんのつきあいがおしえてくれた
BASIC5000_1379 きちのことはみちのこととくべつしなくてはならない
BASIC5000_1380 かしつをおかしてしまいまことにもうしわけないです
BASIC5000_1381 ごせいきゅうふんのしょうひんはけっかんひんでしたのでわたしどもとしてはおしはらいいたしかねます
BASIC5000_1382 かんぺきなおっとにまだであったことがない
BASIC5000_1383 しゅっけつをやめるためにどうにかしなければならない
BASIC5000_1384 おわすれになっただけかとおもいました
BASIC5000_1385 ふゆやすみはどのようにすごしましたか
BASIC5000_1386 せきひんとぐちにいたらばこいはまどよりとびさる
BASIC5000_1387 そのしごとはしょうごまえにおえねばならない
BASIC5000_1388 はかせとおるのいけんがいっちしないときはだれがきめるのか
BASIC5000_1389 しつめいすることいじょうにおおきなふこうがあるだろうか
BASIC5000_1390 こおるようなつめたいかぜがほねまでしみた
BASIC5000_1391 いっぴきのいぬとふたりのにんげんがじゃんぷしている
BASIC5000_1392 おってつうちがあるまでかいごうはえんきされた
BASIC5000_1393 しゅうどうしのようにずきんをかぶったくもはぽつりぽつりとおちるあめをじゅずのようにつまぐっている
BASIC5000_1394 とうぎのかていでそのことにはふれられなかった
BASIC5000_1395 たえられないあっぱくからのがれるためにじさつにはしるこどもたちもいる
BASIC5000_1396 げんぜいはしばしばけいざいをしげきするじゅうようなざいせいせいさくしゅだんとしてつかわれる
BASIC5000_1397 りょうてんびんにかけようたってそうはいきませんよ
BASIC5000_1398 たんじかんでたがくのおきんをえることはよういではなかった
BASIC5000_1399 せんしゅうあたりもさそってくれていたがよるがおそいのでなくなくたった
BASIC5000_1400 かなをもったことのないものにはともはできない
BASIC5000_1401 せんしんこくははってんとじょうこくをもっとえんじょすべきだ
BASIC5000_1402 おとはしだいによわくなりそしてとうとうきこえなくなった
BASIC5000_1403 にがつにいちどめたをけんさします
BASIC5000_1404 ときをこえてこだいのこんちゅうたちがこはくのなかでいきいきとおどる
BASIC5000_1405 つうかしたくるまがわたしのことにみずをはねかけた
BASIC5000_1406 ちょっけいいちめとるふかさにめとるのあなをほるのにやくにじかんはんかかりました
BASIC5000_1407 はいゆうげいじゅつかおんがくかそれにさっかははなしことばみぶりしきさいおとなどをふくむいろいろなかたちをつかうことができる
BASIC5000_1408 ふよういなことばはおおきなわざわいのもとになるであろう
BASIC5000_1409 つぶろっくさきまであるきひだりへまがりなさい
BASIC5000_1410 おとがおおきいほうががしがししごとしてるようにみえるというにんとうるさいだけっていうにんいますよね
BASIC5000_1411 にだいのくるまはたがいにみちをゆずろうとした
BASIC5000_1412 めいぼにわたしのなまえもついかしてください
BASIC5000_1413 きてきがなってふねはゆっくりとみなとからはなれていった
BASIC5000_1414 わせだだいがくにおけるかのさいごのこうぎはまんこのはくしゅかっさいをあびた
BASIC5000_1415 じょうそのものはふつうのしりんだじょうですからどあをしめたらおとろっくするということはありません
BASIC5000_1416 なやにはじてんしゃをおいてはいけない
BASIC5000_1417 くいいじのはったしょうねんはりょうりをぜんぶたいらげた
BASIC5000_1418 たべものはよくなかったがすくなくともねだんがやすかった
BASIC5000_1419 かんきゃくがわからあいてちむをわらってやることはそのしきをくじくことになろう
BASIC5000_1420 しばかりりきがかんそなつくりのにぐるまにつんである
BASIC5000_1421 さかをおりるときにかのじょのおんぼろじてんしゃはききおとをたてた
BASIC5000_1422 すぎさったことをなげいてもしょうがない
BASIC5000_1423 そうしゃのなかにははしりながらみずをのむものもいる
BASIC5000_1424 あらしはこのうえもなくはげしくなってきた
BASIC5000_1425 しんしならみちにつばなどはかないだろう
BASIC5000_1426 いそのさんいっかはよくはいきんぐにいったものだ
BASIC5000_1427 あらしでかれらはいえのなかにとじこめられた
BASIC5000_1428 せいしょくしゃはじんせいのらくごもののほうにみかたしてしょうりしゃをせっとくしあゆみよらせることをなりわいとしているようにおもえる
BASIC5000_1429 たいしゅうはどくさいしゃにはんこうしてはんらんをおこした
BASIC5000_1430 あらしがなかったらわたしはもっとはやくついたのだが
BASIC5000_1431 りゅうげんひごにまどわされるべからずとはいうもののいうはやすくおこなうはむずかしとおもわない
BASIC5000_1432 あやまちをあらたむるにはばかることなかれ
BASIC5000_1433 どだいはこんくりとでかためられている
BASIC5000_1434 ちちはよろこんでいるどころかとてもいかっている
BASIC5000_1435 ちちのしごかれはどくがくしなければならなかった
BASIC5000_1436 ちちとわたしはにちようびにはいつもてにすをしていた
BASIC5000_1437 らてんごをよめるがくせいはほとんどいない
BASIC5000_1438 びせいぶつまなのきほんからさいしんのじょうほうまでをもうらする
BASIC5000_1439 らっふるずでしょくじしたければすうしゅうかんまえによやくしなければならない
BASIC5000_1440 こうえんしゃはじぶんのだいがくじだいのおもいでをくわしくはなした
BASIC5000_1441 えんぶんのたかいしょくじをとるとこうけつあつのげんいんになるかもしれない
BASIC5000_1442 らんだがひつようなしゅうせいをほどこしたことはちゅういするかちがある
BASIC5000_1443 ちちがわたしのためにおいしいちゅうしょくをつくってくれた
BASIC5000_1444 あかじはなんとかうめあわせなければならない
BASIC5000_1445 ちちからわたしにこんぴゅたげむがあたえられた
BASIC5000_1446 くちぶえはあるほうほうでいきをふくことでできる
BASIC5000_1447 とうさんはそんなばかなことをしたことでむすこにはらをたてた
BASIC5000_1448 りこうなにんもいればそうでないにんもいる
BASIC5000_1449 らむさけをこのまないとしてもこれをいっぱいやってみたまえ
BASIC5000_1450 もんだいはたいようえねるぎにはこすとがかかりすぎるということだ
BASIC5000_1451 かぞくはまもなくあたらしいかんきょうにとけこんだ
BASIC5000_1452 じょうむいんがただいまでいりくちをひらけております
BASIC5000_1453 そっちょくにいうとかれはさっかというよりはむしろひひょうかだ
BASIC5000_1454 てきとうなきかいがあればあなたをかれにしょうかいしよう
BASIC5000_1455 がくちょうはせいとたちにつぎのとうりにこうえんした
BASIC5000_1456 ひじかけけいすにこしかけてしばらくおちついてください
BASIC5000_1457 ぼけいのそぼはそのきゅうしきのどれすをきることにこしつする
BASIC5000_1458 ひゅずさんぴたぶらうんです
BASIC5000_1459 ろくじゅうにするためにはじゅうななになにをたせばよいの
BASIC5000_1460 ろくじゅうごさいいじょうのにんたちはせいふからねんきんをうけている
BASIC5000_1461 ひよこがえさをさがしてじめんをつついている
BASIC5000_1462 ひるとんしはいえをうりたくなってしんぶんにこうこくをだした
BASIC5000_1463 ひんぎすがいっかいせんはいたいのおおばんくるわせ
BASIC5000_1464 ひとあいらんどげんしょうのじったいかいせきとたいさくのありほうについて
BASIC5000_1465 くすりがらんようされるとひとびとのけんこうをがいするかのうせいがある
BASIC5000_1466 きょうきゅうがまもなくじゅようにおいつくでしょう
BASIC5000_1467 ひっとらはじさつしたとせんせいはわたしにおっしゃった
BASIC5000_1468 せんたくをするということはつねにぎせいをつまりあるものをあきらめてべつのものをとることをいみする
BASIC5000_1469 ひとらはどいつをせんそうにひきいれた
BASIC5000_1470 ひどいねぼくらのかんけいはこんなにどらいだったの
BASIC5000_1471 ひまらやのやまはあんですのやまよりもたかい
BASIC5000_1472 くすりによってはやくたつどころかぎゃくにそこになるものもある
BASIC5000_1473 くすりのききめがだんだんなくなってきた
BASIC5000_1474 くすりはこどものてのとどかないところにおくべきだ
BASIC5000_1475 こうろんがちょうどはげしいときにかれがちゅうさいにいっった
BASIC5000_1476 ぴったりあうかどうかこのしんちょうのふくをきてみなさい
BASIC5000_1477 しょうがくのねんきんでせいかつするのはかれにはこんなんであった
BASIC5000_1478 きんだいぎじゅつはおおくのものをあたえてくれる
BASIC5000_1479 ろくさいいじょうのこどもはがっこうにかよわなければならない
BASIC5000_1480 そうおんがひどかったのでべいりきょうじゅはじぶんのこえをとうすことができなかった
BASIC5000_1481 よびだしてほしいにんのなまえはなんですか
BASIC5000_1482 いでんしくみかえしょくひんをたべるのはきけんだとおもいますか
BASIC5000_1483 こうこはまったくひとりきりでそこにすわっていた
BASIC5000_1484 おくないにいるのがもったいないぐらいよいてんきだった
BASIC5000_1485 ほっかいどうにいったらやっぱりうみのさちをたべないといったいみがないでしょう
BASIC5000_1486 せんがくひさいのわたしではありますがなんとぞみなさまのおちからをたまわりたくここにおねがいもうしあげるしだいです
BASIC5000_1487 みるにちはれくじぇにばをかたどっていけをぞうった
BASIC5000_1488 しょうぎのきふにはちょさくけんがあるのかといったことはいろいろなところでぎろんされています
BASIC5000_1489 ひょうがふるのをみたことがありますか
BASIC5000_1490 かえりみられぬむすうのひょうりゅうしゃがいえをもとめてる
BASIC5000_1491 はしはしいながれにたえられずほうかいした
BASIC5000_1492 せんごまもなくちちはあたらしいいえをかったがそこでわたしはうまれた
BASIC5000_1493 じがぞうをえがくときだれでもすわってじっとじぶんをみつめます
BASIC5000_1494 なにごとってんだいっってくれないとは
BASIC5000_1495 しょくちゅうしょくぶつはこんちゅうをとらえるためのさまざまなしゅるいのわなをそなえている
BASIC5000_1496 こんでいるばすのなかでだれかがわたしのめいをよぶのをきいた
BASIC5000_1497 しょうにんしたさのあまりかれはたにんのかんじょうをかんがえなかった
BASIC5000_1498 うったときをうめあわせるのはむずかしい
BASIC5000_1499 すいみんはけんこうにかくことができないものです
BASIC5000_1500 はたけはめんせきがさんびゃくえかいじょうある
BASIC5000_1501 たかとびではかれはわたしよりずっとうえだ
BASIC5000_1502 ぺぎはえんげきをみにいかなかったがわたしもいかなかった
BASIC5000_1503 あしてまといになるこどもをおたのみしてすみません
BASIC5000_1504 ぺいるえるはあるこるがんゆうりょうのすくないびるだ
BASIC5000_1505 みつもりしょにははいそうりょうとほけんりょうについてのきさいがありませんでした
BASIC5000_1506 にっきをつけることでひびのせいかつにたいするはんせいのきかいをえることにもなる
BASIC5000_1507 どうせだいのにんはしごととかかいものでるすばかりです
BASIC5000_1508 くらまはちからよりもばらんすかんかくがひつようです
BASIC5000_1509 どういつさしだしにんからどういつうけとりにんにあててゆうたいというもじどおりふくろにいんさつぶつをいれてゆうそうします
BASIC5000_1510 きょうふうはあらしがちかづいていることをしめしている
BASIC5000_1511 りょうほうのてんぼうにはあるきょうつうのてまがある
BASIC5000_1512 さかざきこうのすけはあるふぃにしょぞくしています
BASIC5000_1513 さんこうのためにかたろぐをおくりください
BASIC5000_1514 つうわのもうしこみをとりけしましょうか
BASIC5000_1515 えんぴつであなたのなまえをかきなさい
BASIC5000_1516 がんたんにはきんじょのじんじゃにおまいりするにんがおおい
BASIC5000_1517 がんじつにじんじゃへさんぱいするにほんじんはおおい
BASIC5000_1518 しょうぼうしゃがとうちゃくしたときにはいえはもえあがっていた
BASIC5000_1519 なりあがりものはきょうようにんとしてつうようしようとした
BASIC5000_1520 どうぎがていしゅつされさんせいのこえもあがっています
BASIC5000_1521 えりはまずうらがわにあいろんをかけつぎにおもてがわをかけなさい
BASIC5000_1522 えらくごきげんななめねけんかこしにならないで
BASIC5000_1523 こんざつしたでんしゃのなかではすりにごようじんください
BASIC5000_1524 さいぜんれつでえをえがいているおんなのこはわたしのめいです
BASIC5000_1525 きこくものたちはにっぽんのせいかつになれるのにくろうしている
BASIC5000_1526 ごじごやくのごしてきなどはかきめるあどれすよりおよせください
BASIC5000_1527 なすことができるものがなしなすことができないものがおしえる
BASIC5000_1528 じゅうようなちいがとむにあたえられました
BASIC5000_1529 ぎょうしょうにんはおおきなつつみをせおってはこんだ
BASIC5000_1530 ぼうちょうにんのひとりがおおごえをあげてぎじしんこうをさまたげた
BASIC5000_1531 まごたちはわたしにおおきなよろこびをあたえてくれる
BASIC5000_1532 しかはむかしりょうのえもののしゅたるものだった
BASIC5000_1533 まごといっしょにいるとかのじょはいつもたのしい
BASIC5000_1534 かんりゅうどらまぶむにびんじょうしてかんこくのせいひんをうるぎょうしゃがふえた
BASIC5000_1535 みみのふじゆうなにんはしゅわでかいわができる
BASIC5000_1536 せをむけることしかできないならば
BASIC5000_1537 りっぱなせんせいはせいとににんたいつよくなければならない
