TRAVEL1000_0001 あなたのにもつはろさんぜるすにのこっています
TRAVEL1000_0411 あめりかにんはいえにいるときにくつをぬぎません
TRAVEL1000_0412 それはわたしのいくえるろいはうすのちかくです
TRAVEL1000_0413 どのようなぱいがございますか
TRAVEL1000_0414 もよりのばすのていりゅうしょはどこですか
TRAVEL1000_0415 だんせいはじょせいとあくしゅしないそうですね
TRAVEL1000_0416 げんきんではてぶるのじょうにげんきんをおきます
TRAVEL1000_0417 よくじつはいたつでおくるのがもっともよいでしょう
TRAVEL1000_0418 しゅっぱつのすくなくともさんじゅうふんまえにとうじょうてつづきをしてください
TRAVEL1000_0419 こひしょっぷかなにかございますか
TRAVEL1000_0420 べくとぽてとにばたとさわくりむをつけてください
TRAVEL1000_0421 あのさいんとうりにいってください
TRAVEL1000_0422 それをうけるばあいはいかにもたのしみにしているかんじょうをあらわすのがたいせつです
TRAVEL1000_0423 かのなまえだけはしっています
TRAVEL1000_0424 しんこくしょにきにゅうするひつようはありすか
TRAVEL1000_0425 ここにしょめいしていただけますか
TRAVEL1000_0426 このくれじっとかどでしはらえますか
TRAVEL1000_0427 さんぶろっくあるいてちかてつのえきへいきます
TRAVEL1000_0428 すいようびのごごをおねがいします
TRAVEL1000_0429 とすとにまいとおれんじじゅすをおねがいします
TRAVEL1000_0430 このつあについてせつめいしてくださいますか
TRAVEL1000_0431 せきがとまらなくてはなみずがでます
TRAVEL1000_0432 よんばんぷらっとふぉむからです
TRAVEL1000_0433 もしよければまくのところにしょめいしてください
TRAVEL1000_0434 さとうとくりむはいかですか
TRAVEL1000_0435 ぺぱにかんしてしつもんがあります
TRAVEL1000_0436 それでごつごうはいかがでしょうか
TRAVEL1000_0437 こくりつびじゅつかんへはどのでぐちをでればよいでしょうか
TRAVEL1000_0438 やこうれっしゃのしんぐるすらんばをおねがいします
TRAVEL1000_0439 ぷろぐらむをいちぶいただけますか
TRAVEL1000_0440 うえすてぃんにいくもっともあんかなほうほうはなんですか
TRAVEL1000_0441 うんてんしゅつきのりむじんをかりきることもできます
TRAVEL1000_0442 じゅっふんほとまえにくれじっとかどをわすれたのですが
TRAVEL1000_0443 わたしもちずけきをたべます
TRAVEL1000_0444 さんときのしゃとるばすのよやくをしましょう
TRAVEL1000_0445 だいやもんどのゆびわをみせていただけますか
TRAVEL1000_0446 おおきなにもつをもってうごきまわるのはたいへんです
TRAVEL1000_0447 はいいっしゅうかんではできるかぎりあしをつかわないようにしてください
TRAVEL1000_0448 おきゃくさまのへやはいちまるななごうしつです
TRAVEL1000_0449 あなたはほかのえいごのしけんをうけなければなりません
TRAVEL1000_0450 もっとやさいりょうりをとってたべてください
TRAVEL1000_0451 しかしぱてぃとじんがすいせんされてきました
TRAVEL1000_0452 しゃとるばすはほわどいんにどまりますか
TRAVEL1000_0453 らいとびるですかくろびるですか
TRAVEL1000_0454 とうろくのときにせいしきのみぶんしょうめいしょをおわたしします
TRAVEL1000_0455 えあんどしうえすとおぺれたです
TRAVEL1000_0456 ぱまねんとのぜんかのちのどちらできりましょうか
TRAVEL1000_0457 しずんによってりょうきんはかわりますか
TRAVEL1000_0458 さいしょにとまるのがほるといんです
TRAVEL1000_0459 いつあくしゅすればよいかわからないのです
TRAVEL1000_0460 よくじつはいたつでおくるのがいいでしょう
TRAVEL1000_0461 このほけんをおかけになりますか
TRAVEL1000_0462 ぱいんとうりいちまるにばんちのもがんふうふです
TRAVEL1000_0463 さうなにはたおるがありますか
TRAVEL1000_0464 ごぜんちゅうにたたれますかごごにたたれますか
TRAVEL1000_0465 もしできればきんえんせきにかえてもらえますか
TRAVEL1000_0466 しょっぴんぐせんたにはどのようなみせがありますか
TRAVEL1000_0467 ぱまねんとをかけてほしいのですが
TRAVEL1000_0468 しかごまでとうしてにもつをちぇっくします
TRAVEL1000_0469 えんちょうできるようにあたらしいいちのにじゅうをはっこうしてあげましょう
TRAVEL1000_0470 このけんにつきましてはじょうしとそうだんいたしましてからのちほどれんらくいたします
TRAVEL1000_0471 このにくりょうりをとってまわしてください
TRAVEL1000_0472 ごごにときさんじゅうよんふんにたってらすべがすにはよくちょうくときごじゅっふんにつくれっしゃがあります
TRAVEL1000_0473 このへんにといれはございますか
TRAVEL1000_0474 ごるらいんのちかくのいっかいとにかいにせきがまだあります
TRAVEL1000_0475 もにんぐこるのじかんをへんこうしたいのですが
TRAVEL1000_0476 このゆうびんきょくではよんときですがくうこうのゆうびんきょくまでもっていけばしめきりはろくときです
TRAVEL1000_0477 どこにしんせいしてはっこうしてもらえばよいでしょうか
TRAVEL1000_0478 にゅよくしのこのじゅうしょのゆうびんばんごうはなんばんですか
TRAVEL1000_0479 こんどのどようびにゆうしょくにきていただけませんか
TRAVEL1000_0480 にっぽんへもじゅしんにんはらいででんわがかけられます
TRAVEL1000_0481 うえしちんはここからにぶろっくはなれたところです
TRAVEL1000_0482 あなたのゆうびんぶつはろうかのむこうがわのめいるぼっくすにはいたつされます
TRAVEL1000_0483 あしたのちょうしょくをちゅうもんしたいのですが
TRAVEL1000_0484 あそこのじどうはんばいきできっぷをかえます
TRAVEL1000_0485 かくばめんのかいわぶぶんにはすでにしめしたようれいをすこしかえてしようしています
TRAVEL1000_0486 ここではどのくらいやすみますか
TRAVEL1000_0487 ごときさんじゅっふんにふろんとにでんわしてください
TRAVEL1000_0488 だれかがぐらんどほてるでじゅういちときにぴっくあっぷします
TRAVEL1000_0489 すみませんがわたしのせきはどこですか
TRAVEL1000_0490 すわってなまえをよぶまでまっていてください
TRAVEL1000_0491 きょうのあさぱまねんとをかけるよやくをすることができますか
TRAVEL1000_0492 わたしのさいずはよくわかりません
TRAVEL1000_0493 にもつのあずかりしょうをみせてください
TRAVEL1000_0494 このしろではがいどのあんないがありますか
TRAVEL1000_0495 わたしはどなるどそんさんのじょしゅのものです
TRAVEL1000_0496 えじぷとのびじゅつひんはどこにありますか
TRAVEL1000_0497 どのようにかみをかりたいのでしょうか
TRAVEL1000_0498 ここではふらっしゅはしようしてもよいでしょうか
TRAVEL1000_0499 わたしたちのしゃしんをとっていただけますか
TRAVEL1000_0500 たくしにあいのりしてわりかんでいきましょうか
TRAVEL1000_0501 そのかのうせいをけんとうしてみるべきです
TRAVEL1000_0502 ふぁみりれすとらんはかぞくやゆうじんときらくにいけるところです
TRAVEL1000_0503 あきらかになにかえらがあったのですね
TRAVEL1000_0504 らっせるずひゃっかてんとちいさいみせがたくさんあります
TRAVEL1000_0505 それらのほてるがちかくにあるかどうかよくわかりません
TRAVEL1000_0506 なんじまでれすとらんはひらいていますか
TRAVEL1000_0507 せんたくのさびすがありますか
TRAVEL1000_0508 じゅうときさんじゅっふんにあきがあります
TRAVEL1000_0509 びでおかめらはここにあずけてください
TRAVEL1000_0510 こんしゅうしようしたばしょときんがくをおしらせください
TRAVEL1000_0511 すみませんがおつりがありません
TRAVEL1000_0512 あめりかんえきすぷれすでよろしいですか
TRAVEL1000_0513 でぐちのみやげみせですらいどとえはがきをうっています
TRAVEL1000_0514 いしかわでんきのはんばいせきにんしゃでわたしどものしんせいひんのごしょうかいをしたいとおもいます
TRAVEL1000_0515 じゅしんにんはらいのでんわのりょうきんはたかいですか
TRAVEL1000_0516 しらないにんとであうとしょうかいされます
TRAVEL1000_0517 にっぽんへのでんわりょうがもっともあんかなじかんはいつですか
TRAVEL1000_0518 ちょっとみせていただいているだけです
TRAVEL1000_0519 このおさつをこぜににかえていただけますか
TRAVEL1000_0520 でざとはなにをめしあがりますか
TRAVEL1000_0521 ほてるのあっせんところやちょくつうのでんわをそなえたあんないけいじばんがあるばあいがおおいです
TRAVEL1000_0522 おぷんまけっとはどちらのほうこうですか
TRAVEL1000_0523 いちにちよんじゅうごどるごじゅうきゅうせんとでいちまいるあたりじゅうごせんとついかです
TRAVEL1000_0524 もしみつければいちまるいちごうしつまででんわしてくださいますか
TRAVEL1000_0525 もうふとまくらをとっていただけますか
TRAVEL1000_0526 にゅよくでかりたくるまをかえしたいのですが
TRAVEL1000_0527 でんわしておやくそくをしていただけますか
TRAVEL1000_0528 かようびのごぜんすいようびのごごそしてきんようびのごぜんです
TRAVEL1000_0529 もうすこしかんがえさせていただけますか
TRAVEL1000_0530 たまごはどのようにりょうりしましょうか
TRAVEL1000_0531 にもつのあずかりしょうをみせていただけますか
TRAVEL1000_0532 このちゃとはどのざせきがまだのこっているかをしめしています
TRAVEL1000_0533 ここではじぶんであいているところにすわりかぎられたしょくじをちゅうもんしてすばやくたべます
TRAVEL1000_0534 すてしょんほてるのごまるいちごうしつにおります
TRAVEL1000_0535 このしょほうせんのくすりをちょうごうしてくださいますか
TRAVEL1000_0536 これをこぜににくずしてください
TRAVEL1000_0537 こうくうびんではいくらかかりますか
TRAVEL1000_0538 がくせいのきょうじゅしゃはいんたびゅしけんもじゅけんしなければなりません
TRAVEL1000_0539 しごとをやすんでいえにいたほうがよいでしょうか
TRAVEL1000_0540 かがくのひつようなかもくをりしゅうしてはどうですか
TRAVEL1000_0541 おもなくれじっとかどとうんてんめんきょしょうがひつようです
TRAVEL1000_0542 かんこうびざからがくせいびざにきりかえるのはどのようにすればよいでしょうか
TRAVEL1000_0543 みなみたみなるにいかなければなりません
TRAVEL1000_0544 こちらにきてえいごのしけんをうけるてつづきをするようにいわれました
TRAVEL1000_0545 あしたのあさになりますがどちらにおとまりですか
TRAVEL1000_0546 よやくはしていないのですがさんにんのせきはありますか
TRAVEL1000_0547 ゆうらんせんにはどこでのれますか
TRAVEL1000_0548 かえるにちのまえのばんにこのかえりのきっぷにあるでんわばんごうにでんわしてよやくしてください
TRAVEL1000_0549 かんじょうしょきをもってきていただけますか
TRAVEL1000_0550 どなつとこひをおねがいします
TRAVEL1000_0551 しざいかのはどそんとわたしがおめにかかります
TRAVEL1000_0552 はちいちぜろをだいあるしてそれからでんわばんごうをだいあるしてください
TRAVEL1000_0553 こぜにもまぜていただけますか
TRAVEL1000_0554 このやさいりょうりのちょうりほうほうをいただけますか
TRAVEL1000_0555 わたしはしんりがっかのだいがくいんせいです
TRAVEL1000_0556 ぜろをだいあるしておぺれたをよんでください
TRAVEL1000_0557 こんちねんたるぶれっくふぁすとをおねがいします
TRAVEL1000_0558 きてくださってうれしいですわ
TRAVEL1000_0559 すみませんがちがったばんごうへおかけです
TRAVEL1000_0560 なんじまでにくるまをかえさなければなりませんか
TRAVEL1000_0561 これらはどこでうけとりますか
TRAVEL1000_0562 このたてものはどうしてゆうめいなのですか
TRAVEL1000_0563 くうこうでぴっくあっぷしてもらえますか
TRAVEL1000_0564 きつえんせきですかきんえんせきにしましょうか
TRAVEL1000_0565 ちいさいきんがくのおさつをおもちではありませんか
TRAVEL1000_0566 がまんにがまんをしてかんじょうのばくはつをしないようにくれぐれもちゅういしてください
TRAVEL1000_0567 がいせんにつなぐにはぜろをだいあるしてください
TRAVEL1000_0568 うんてんしゅがこのでぐちをでたところまでむかえにきます
TRAVEL1000_0569 このきかいのつかいかたをおしえてくださいますか
TRAVEL1000_0570 どのようなつあがありますか
TRAVEL1000_0571 こくさいせんではあるこるいんりょうもむりょうさびすのばあいがおおいです
TRAVEL1000_0572 いんふぉまるできらくにいけよやくもひつようありません
TRAVEL1000_0573 てがみをできるだけはやくおくりたいのですがどうすればいいでしょうか
TRAVEL1000_0574 くじょうをえいごでいうのはむずかしいものです
TRAVEL1000_0575 おやくそくはどのようにしてすればよいでしょうか
TRAVEL1000_0576 あのびるのよこにちかてつのいりぐちがあります
TRAVEL1000_0577 おえいちえいえすえいちあいです
TRAVEL1000_0578 うんてんしゅつきのりむじんはさんじゅうごどるです
TRAVEL1000_0579 ばっぐにはなにがいっっていましたか
TRAVEL1000_0580 とらんじっとようのらうんじはどちらですか
TRAVEL1000_0581 わたしはこのてのどれすがほしいのですが
TRAVEL1000_0582 たくしをひろっていりのいとうりのあじそんかいしゃといっってください
TRAVEL1000_0583 しぇるだんしとじゅうときさんじゅっふんにあうやくそくがあります
TRAVEL1000_0584 これをひふにつけないようにちゅういしてください
TRAVEL1000_0585 えすえいていおです
TRAVEL1000_0586 にっぽんにはがきをこうくうびんでおくるとよんじゅっせんとになります
TRAVEL1000_0587 ほてるまでのもっともいきやすいみちをごぞんじですか
TRAVEL1000_0588 しんぐるすらんばとよばれるこしつがあります
TRAVEL1000_0589 それでここでりらっくすしていてください
TRAVEL1000_0590 げんきんでおしはらいになってほけんがいしゃからおきんをうけとってください
TRAVEL1000_0591 おばらんどこうくうのよやくがかりです
TRAVEL1000_0592 あめりかんえきすぷれすでしはらいます
TRAVEL1000_0593 ろくときににめいさまできんえんてぶるをごよやくですね
TRAVEL1000_0594 このせたのしょくちがいのがありますか
TRAVEL1000_0595 おつりがちがっているとおもいます
TRAVEL1000_0596 ていかろりのだいえっといんりょうはありますか
TRAVEL1000_0597 えこのみくらすのりょうきんはにひゃくななじゅうろくどるです
TRAVEL1000_0598 こうしゅうでんわはひかくてきたかくほてるのへやからのつうわはひじょうにたかいのです
TRAVEL1000_0599 いつどこできっぷをうけとれますか
TRAVEL1000_0600 しょうたいしていただいてありがとうございます
TRAVEL1000_0601 めるるむはこくさいゆうびんもあつかえますか
TRAVEL1000_0602 じかんはかべにけいじしてあります
TRAVEL1000_0603 せいひんのひんしつはげんざいごしようのものとおなじです
TRAVEL1000_0604 たぶんいっかいのこぴをするところからおくれるでしょう
TRAVEL1000_0605 おしえていただいたにんにおれいをのべるのもわすれないようにしてください
TRAVEL1000_0606 せいぶつがくはどのせんせいのくらすをりしゅうすればよいでしょうか
TRAVEL1000_0607 しょるだばっぐはもってかえります
TRAVEL1000_0608 わたしはすこしじょうほうをもっています
TRAVEL1000_0609 ここのとうりのことですかつぎのとうりですか
TRAVEL1000_0610 ひるのしょかよるのしょかどちらがいいですか
TRAVEL1000_0611 ごちゅうもんのまえになにかおのみものはなにをめしあがりますか
TRAVEL1000_0612 あのてぶるでよろしいですか
TRAVEL1000_0613 にいちにさんよんごよんごななろくです
TRAVEL1000_0614 いちまいめはにどるでにまいめからはいちまいいちどるです
TRAVEL1000_0615 こひとちきんさんどいっちをおねがいします
TRAVEL1000_0616 それをしんぐるのりょうきんでていきょうしましょう
TRAVEL1000_0617 いまどのようなみゅじかるをじょうえんしていますか
TRAVEL1000_0618 じゅういちときさんじゅっふんにくるまでむかえにいきます
TRAVEL1000_0619 かたをとりますのでおわたしください
TRAVEL1000_0620 このでんわをおかりしてもよいでしょうか
TRAVEL1000_0621 りょうきんはにじゅうよじかんせいのとけいにもとづいています
TRAVEL1000_0622 どのちゃんねるでえいがのにほんごのせりふがきけますか
TRAVEL1000_0623 ねくたいとうわぎをきていないといれてくれないところもあります
TRAVEL1000_0624 さんふらんしすこからでてとうにちかんのくるずです
TRAVEL1000_0625 はのばほてるにとまっています
TRAVEL1000_0626 すとれっちりむじんをおねがいします
TRAVEL1000_0627 おとなふたりにこどもひとりおねがいします
TRAVEL1000_0628 にじゅうきゅうせんとのきってをごまいおねがいします
TRAVEL1000_0629 おおさかのわたしのおふぃすにふぁっくすをおくらなければなりません
TRAVEL1000_0630 これもふくめてななじゅうどるさんじゅっせんとです
TRAVEL1000_0631 だれかにそうこうきょりをちぇっくさせます
TRAVEL1000_0632 これぐらいのおおきさでしょくはちゃいろです
TRAVEL1000_0633 ながいかんあるいているとひざがいたみます
TRAVEL1000_0634 だれかなにかていあんはありませんか
TRAVEL1000_0635 だうんたうんにいくばすはありますか
TRAVEL1000_0636 あのうおくるにはちいさすぎますね
TRAVEL1000_0637 ぶれすれっとをはずしてください
TRAVEL1000_0638 もくようびのよるにやきゅうのしあいがありますのでわたしたちのなんにんかはいくよていです
TRAVEL1000_0639 あたらしいじゅうぎょういんのいちぶはてきせつなとれにんぐをうけていないかもしれません
TRAVEL1000_0640 きっぷはおばらんどこうくうのかうんたでうけとれます
TRAVEL1000_0641 あいてがりかいしているかどうかたしかめつつはなしをつづけるのもたいせつなことです
TRAVEL1000_0642 あめりかのほとんどのほてるがどうようにせいきゅうしています
TRAVEL1000_0643 もっとちかくからみせていただけますか
TRAVEL1000_0644 きないさびすはあるこるいんりょうをのぞいてふつうむりょうです
TRAVEL1000_0645 もしみつければごれんらくいたします
TRAVEL1000_0646 やくよんしゅうかんでにじゅうのさんとよんぺじとあたらしいきゅうじゅうよんがとどきます
TRAVEL1000_0647 かたみちがじゅうにどるでおうふくがにじゅうどるです
TRAVEL1000_0648 こんやではなくあしたのばんえいがにいくことができますか
TRAVEL1000_0649 はいなんとかできるとおもいます
TRAVEL1000_0650 あなたのてれびでゆうりょうのえいがをみられますよ
TRAVEL1000_0651 これからはじかんにまにあうようにどりょくできますか
TRAVEL1000_0652 ふぇあもんとほてるまですとれっちりむじんをおねがいします
TRAVEL1000_0653 どのようなしばいがおすきですか
TRAVEL1000_0654 ここはふぁすとくらすのみです
TRAVEL1000_0655 うんてんしゅつきのりむじんはよんじゅうどるです
TRAVEL1000_0656 すてきはどのようにりょうりしましょうか
TRAVEL1000_0657 まりんせんたへはしゃとるばすがあります
TRAVEL1000_0658 ぷるはなんじにおぷんしますか
TRAVEL1000_0659 このかとをたくしすたんどまでもっていってもよいですか
TRAVEL1000_0660 にゅよくからしかごまでのれっしゃのことでおしえていただきたいのですが
TRAVEL1000_0661 くるまででむかえありがとうございます
TRAVEL1000_0662 そうですねあめりかにんはいっぱんてきにさいしょにあったときにあくしゅします
TRAVEL1000_0663 このばあいどのじょうほうがひつようかをめいかくにたずねることがたいせつです
TRAVEL1000_0664 すずきですがこんやしちときのよやくをとりけしたいのですが
TRAVEL1000_0665 しとべるとのさいんがつきました
TRAVEL1000_0666 こくりつはくぶつかんへはこうきょうのこうつうきかんでかんたんにいけますか
TRAVEL1000_0667 さいごのぶぶんがわかりませんでした
TRAVEL1000_0668 どこでしばいのじょうほうがにゅうしゅできますか
TRAVEL1000_0669 このけんをけいさつにとどけるひつようがあります
TRAVEL1000_0670 これはしおからすぎてたべられません
TRAVEL1000_0671 ぽけっとをそらにしてもういちどとおってください
TRAVEL1000_0672 これがあなたのへやのかぎとめいるぼっくすのかぎです
TRAVEL1000_0673 ここからまちへいくさいぜんのほうほうはなんですか
TRAVEL1000_0674 おまねきいただきましてありがとうございます
TRAVEL1000_0675 しかごによくちょうのしちときさんじゅうごふんにとうちゃくします
TRAVEL1000_0676 しのこうつうきかんのいちにちじょうしゃけんはありますか
TRAVEL1000_0677 ひゅずはかせにおあいになったことはございますか
TRAVEL1000_0678 わたしのにもつはこんべあべるとにのってでてきませんでした
TRAVEL1000_0679 どのようなけきがございますか
TRAVEL1000_0680 もうすこしちょうさをしてかられんらくします
TRAVEL1000_0681 こんげつあなたはしごとにすうかいちこくしています
TRAVEL1000_0682 つぎのこうさみせでみぎにまがってください
TRAVEL1000_0683 それをちゅういぶかくよんでください
TRAVEL1000_0684 すみませんがわたしのせきにおすわりのようですが
TRAVEL1000_0685 よせみてへのつあはありますか
TRAVEL1000_0686 すてきでぃなをおねがいします
TRAVEL1000_0687 ふぁすとくらすのへやがあります
TRAVEL1000_0688 そのしめいとじゅうしょをもっています
TRAVEL1000_0689 どようびにしていただけますか
TRAVEL1000_0690 そちらへはどのようにいけばよいでしょうか
TRAVEL1000_0691 そうこうきょりにかんけいなくついたちさんじゅうにどるきゅうじゅうきゅうせんとです
TRAVEL1000_0692 もうしわけございませんがにもつはあずけていただかなければなりません
TRAVEL1000_0693 そしてへんじがあればしらせていただけますか
TRAVEL1000_0694 といれのみずがよくでないのですが
TRAVEL1000_0695 あなたはただしいかもしれません
TRAVEL1000_0696 なまえとでんわばんごうをうかがえますか
TRAVEL1000_0697 もうしわけございませんがこのはくぶつかんでのさつえいはきんしされております
TRAVEL1000_0698 はいしゃをしょうかいしていただけますか
TRAVEL1000_0699 これはぜろっくすこぴもたしょうあります
TRAVEL1000_0700 わすれるとこまることやしつれいになることがおこりえます
TRAVEL1000_0701 きゅうじもよくくんれんされていてていねいなことばづかいをします
TRAVEL1000_0702 あのたてもののなかにゆうりょうのといれならありますよ
TRAVEL1000_0703 ごうけいきんがくがまちがっているようですよ
TRAVEL1000_0704 これらのしょうひんはこんしゅうはやすうりです
TRAVEL1000_0705 げんばのかんとくしゃとはなしあってみるべきでしょう
TRAVEL1000_0706 そのようなしょうじょうはどれくらいつづいていますか
TRAVEL1000_0707 ほかにてがみをはやくおくるほうほうはありますか
TRAVEL1000_0708 どあのところのはこをどけていただけませんか
TRAVEL1000_0709 せつめいをよくよんでしようしてください
TRAVEL1000_0710 これのこぴをもういちまいもってきてください
TRAVEL1000_0711 わたしもおあいできてたのしかったです
TRAVEL1000_0712 はいけっこうですがそこでかえせばひゃくどるかかります
TRAVEL1000_0713 さんときごふんほどまえにろびにきてください
TRAVEL1000_0714 どこでなくしたかおぼえていません
TRAVEL1000_0715 ちゅうおうえきまではどれくらいじかんがかかりますか
TRAVEL1000_0716 れいもんとほてるまでりむじんはいくらですか
TRAVEL1000_0717 にゅよくのおりんずかいしゃではたらいています
TRAVEL1000_0718 ざせきははやいものじゅんにわりあてられます
TRAVEL1000_0719 わしんとんいきのごごのばすのきっぷをにまいおねがいします
TRAVEL1000_0720 いちいんちほどみじかくかってください
TRAVEL1000_0721 せんたくものはせんたくもののふくろにいれてこちらまでもってきてください
TRAVEL1000_0722 とらべらずちぇっくでしはらえますか
TRAVEL1000_0723 きょうのごごのよやくはいかがですか
TRAVEL1000_0724 こちらもうれしいですがじぇにとよんでください
TRAVEL1000_0725 わとそんはくぶつかんではがいどのあんないはありますか
TRAVEL1000_0726 つまがあなたにあいたがっていますので
TRAVEL1000_0727 えいごのこみゅにけしょんはむずかしいものです
TRAVEL1000_0728 ほんだけをおくるのであればもっともやすいほうほうはさっくめるです
TRAVEL1000_0729 さいしょにがいこくじんがくせいのおりえんてしょんのすけじゅるがあります
TRAVEL1000_0730 しかしまだおあいしたことはないとおもいます
TRAVEL1000_0731 でんわばんごうがわからないときはどうしましょう
TRAVEL1000_0732 どのようにぐあいがわるいのですか
TRAVEL1000_0733 みしがんにでんわしたいのですが
TRAVEL1000_0734 せつぞくびんにのりおくれたのですがどうすればよいでしょうか
TRAVEL1000_0735 いっかいになにじょうのんだらいいのですか
TRAVEL1000_0736 あっぷるとちぇりがございます
TRAVEL1000_0737 ほてるまでおくっていただけますか
TRAVEL1000_0738 くれじっとかどはびざとますたかどがおもにしようできます
TRAVEL1000_0739 ひゅずさんやまださんにあったことがありますか
TRAVEL1000_0740 これははんおんすをちょうかしています
TRAVEL1000_0741 わたしはげつようびのあさにじゅけんします
TRAVEL1000_0742 みやげほうせきそうしょくひんなどもないようをたしかめながらかいものをたのしめるでしょう
TRAVEL1000_0743 はむさんどいっちとこらをおねがいします
TRAVEL1000_0744 いつきっぷをうけとらなければならないでしょうか
TRAVEL1000_0745 すこしかんがえなければなりません
TRAVEL1000_0746 ゆうしょくにおまねきいただきましてありがとうございました
TRAVEL1000_0747 ちょこれとけきとえんじぇるけきがございます
TRAVEL1000_0748 ぺぱのながさはどれだけですか
TRAVEL1000_0749 こひとはむさんどいっちをおねがいします
TRAVEL1000_0750 どのようなかるがおのぞみですか
TRAVEL1000_0751 ろいすさんおあいできてうれしいです
TRAVEL1000_0752 まだるむさびすはやっていますか
TRAVEL1000_0753 きょうのごごのしあいにはけっきょくあなたといっしょにいけなくなりました
TRAVEL1000_0754 でもそのばんはかいぎがあります
TRAVEL1000_0755 じんじゃえるはどのさいずにされますか
TRAVEL1000_0756 りむじんをかしきれるところはありますか
TRAVEL1000_0757 いちいんちみじかくきってください
TRAVEL1000_0758 ちゅうおうえきにはばすでいけますか
TRAVEL1000_0759 ごぜんちゅうにぱまねんとのよやくはできますか
TRAVEL1000_0760 ここでしゃしんをとってもよろしいでしょうか
TRAVEL1000_0761 きゃんせるのばあいはぜんがくもどりますか
TRAVEL1000_0762 このかんじょうしょきにはまちがいがあるとおもいます
TRAVEL1000_0763 あさかみをあらってどらいあでかわかしほっとろらをしようしました
TRAVEL1000_0764 こんばんはついんはすべてまんしつです
TRAVEL1000_0765 あしたのちょうしょくをへやまでもってきていただけますか
TRAVEL1000_0766 すみませんがしらべていただけますか
TRAVEL1000_0767 ここではあめりかんえきすぷれすのくれじっとかどをしようできますか
TRAVEL1000_0768 こうかなほてるほどおおくあることはいうまでもありません
TRAVEL1000_0769 がくせいしょうをみせていただけますか
TRAVEL1000_0770 てれびのぼりゅむをさげてくださいませんか
TRAVEL1000_0771 ちっぷとでぃっぷはてぶるのじょうにあります
TRAVEL1000_0772 どちらかてがあいておられますか
TRAVEL1000_0773 わたしのとうじょうけんにはさんじゅうななえいちとかかれています
TRAVEL1000_0774 これはだらすいきのばすですか
TRAVEL1000_0775 とうろくのしょるいをもっていますか
TRAVEL1000_0776 はたらくきょかしょうをどのようにしてにゅうしゅしますか
TRAVEL1000_0777 あなたのごこういにかんしゃしています
TRAVEL1000_0778 まりんたわまでいくらですか
TRAVEL1000_0779 もしたくしをよんでもらえればきゅうきゅうびょういんにいけるとおもいます
TRAVEL1000_0780 あしたのこうぎについてしつもんがあります
TRAVEL1000_0781 おひるころにれじのちかくでくろのぶりふけすをみつけられませんでしたでしょうか
TRAVEL1000_0782 とうしゃのせいひんのかたろぐをじさんさせていただきました
TRAVEL1000_0783 へやのとくべつりょうきんはいくらですか
TRAVEL1000_0784 またおあいできてうれしいです
TRAVEL1000_0785 はんにちつあといちにちつあがあります
TRAVEL1000_0786 このかんじょうしょきはなにかまちがっているとおもいます
TRAVEL1000_0787 なにかございましたらおこえをかけてください
TRAVEL1000_0788 ますたかどでしはらえますか
TRAVEL1000_0789 まっしゅるむすぷをいっはいおねがいします
TRAVEL1000_0790 このかんぜいのしんこくしょにきにゅうしてください
TRAVEL1000_0791 いっしょにしごとをしているにんとそのかぞくをゆうしょくにまねきたいのです
TRAVEL1000_0792 しばらくはなせるじかんがありますか
TRAVEL1000_0793 このかうんたにおいたのですが
TRAVEL1000_0794 のりかえけんをいただけますか
TRAVEL1000_0795 ひこうきはすけじゅるとうりですか
TRAVEL1000_0796 みなみえきにいくのにいちばんよいほうほうはなんですか
TRAVEL1000_0797 じゅうはちにちのにひゃくはちじゅうごびんのよやくのさいかくにんをしたいのですが
TRAVEL1000_0798 へやをみせていただけますか
TRAVEL1000_0799 どうすればがいせんへつながりますか
TRAVEL1000_0800 きょうかせられたぺぱがよくわかりませんでした
TRAVEL1000_0801 のりかえのひこうきのげとをかかりいんかもにたでよくたしかめてからいどうしましょう
TRAVEL1000_0802 きゃしふぉまんさんをしめいでんわでおねがいします
TRAVEL1000_0803 いまにゅよくでもっともにんきのあるしばいはなんですか
TRAVEL1000_0804 にときじゅっふんのひこうきをおねがいします
TRAVEL1000_0805 もうすこしこひをいただけますか
TRAVEL1000_0806 しちがつじゅうごにちのろさんじぇるすからそるとれくしてぃのよやくをしたいのですが
TRAVEL1000_0807 ぶすはすべてこんやはよやくすみです
TRAVEL1000_0808 でんちをわたしのためにかってきてくださいますか
TRAVEL1000_0809 へやまでとりにきてくださいませんか
TRAVEL1000_0810 こひをもういっはいいかがですか
TRAVEL1000_0811 ないとくらぶではなまえんそうがありますか
TRAVEL1000_0812 はいそれはたかいきいろいびるです
TRAVEL1000_0813 だいさんのほけんはじんしんじこであなたとどうじょうしゃのちりょうひをかばします
TRAVEL1000_0814 わたしのゆうじんたちがどようびのごごてにすをします
TRAVEL1000_0815 もしさんにちまえにおかいになればにひゃくごどるろくじゅっせんとです
TRAVEL1000_0816 にせんはっぴゃくごじゅうどるですがろくがつじゅうごにちからくがつじゅうごにちのきかんはさんぜんごじゅうどるです
TRAVEL1000_0817 さんふらんしすこにはなんじにつきますか
TRAVEL1000_0818 あめりかこくないでてがみをおくるのはいくらですか
TRAVEL1000_0819 このおおきいのがふたつとこのしょるだばっぐです
